# f_hz  Omega_gw
1.901377919190079809e-11 2.246002052411905321e-11
2.011097535401555933e-11 2.574855542146841102e-11
2.127148556885006738e-11 2.949627445641401141e-11
2.249896339390881891e-11 3.376611893830708524e-11
2.379727321639116935e-11 3.862913731223793964e-11
2.517050241918652338e-11 4.416545207923158477e-11
2.662297424891059064e-11 5.046532418081012396e-11
2.815926142649744139e-11 5.763032525398958030e-11
2.978420054319339183e-11 6.577461796841935528e-11
3.150290728727748635e-11 7.502635564841810081e-11
3.332079254944469169e-11 8.552919954898233445e-11
3.524357945755410017e-11 9.744395633470011140e-11
3.727732139437466549e-11 1.109503308689715077e-10
3.942842105504840397e-11 1.262487874155429513e-10
4.170365060427297216e-11 1.435625078607482733e-10
4.411017299665831287e-11 1.631394242313862717e-10
4.665556452738394882e-11 1.852542979882627397e-10
4.934783868414645585e-11 2.102108113017999484e-10
5.219547137549290788e-11 2.383436072056498141e-10
5.520742761496348785e-11 2.700202234606585323e-10
5.839318974504880641e-11 3.056428099810109291e-10
6.176278728982294334e-11 3.456495395095578514e-10
6.532682853022845941e-11 3.905155495360321092e-10
6.909653390142722749e-11 4.407532506967484523e-10
7.308377131735167445e-11 4.969117831084377898e-10
7.730109353367508673e-11 5.595753716843893266e-10
8.176177766681910949e-11 6.293602802719160764e-10
8.647986699342320552e-11 7.069100173054021601e-10
9.147021516186078610e-11 7.928884185790808606e-10
9.674853295499827441e-11 8.879701970588062489e-10
1.023314377514142736e-10 9.928285264600359422e-10
1.082365058407899546e-10 1.108119256451816318e-09
1.144823277581819824e-10 1.234461377375803877e-09
1.210885668113701455e-10 1.372413520134084927e-09
1.280760209855515934e-10 1.522446391114484942e-09
1.354666884202573039e-10 1.684911402620854725e-09
1.432838366646428659e-10 1.860006153818478380e-09
1.515520759291694215e-10 2.047738064478509945e-09
1.602974365643050160e-10 2.247888231804166068e-09
1.695474510101500302e-10 2.459978612610705087e-09
1.793312404749979020e-10 2.683247009665925668e-09
1.896796066157102377e-10 2.916635621303508743e-09
2.006251285085293551e-10 3.158800777842781671e-09
2.122022652156340532e-10 3.408152732218528206e-09
2.244474642703180949e-10 3.662936011204437815e-09
2.373992764223537140e-10 3.921361115818464502e-09
