# f_hz  Omega_gw
1.715820619251753233e-15 4.411620352572115157e-23
1.814832890620969828e-15 4.391900666709789329e-23
1.919558713728456614e-15 4.372247009136170628e-23
2.030327791882855184e-15 4.352659235917677530e-23
2.147488854084120186e-15 4.333137202582531951e-23
2.271410752910390910e-15 4.313680753380177435e-23
2.402483625758949745e-15 4.294289738808437715e-23
2.541120123097156405e-15 4.274964017656481812e-23
2.687756707590232983e-15 4.255703442878572234e-23
2.842855028195803637e-15 4.236507870343952385e-23
3.006903373551277255e-15 4.217377150685994017e-23
3.180418209229673820e-15 4.198311148379248609e-23
3.363945803703489086e-15 4.179309715231364450e-23
3.558063948135670976e-15 4.160372705696453730e-23
3.763383775411942513e-15 4.141499966190521271e-23
3.980551684141279996e-15 4.122691351249761681e-23
4.210251373681822774e-15 4.103946719971652053e-23
4.453205996598869168e-15 4.085265923020446725e-23
4.710180435331592426e-15 4.066648823844973738e-23
4.981983710235937126e-15 4.048095274350457990e-23
5.269471526584717167e-15 4.029605138389523939e-23
5.573548968543709327e-15 4.011178265480728001e-23
5.895173348604907468e-15 3.992814512398260267e-23
6.235357221447723965e-15 3.974513732062441433e-23
6.595171571716587315e-15 3.956275780197715746e-23
6.975749185750687878e-15 3.938100515060108530e-23
7.378288217881163545e-15 3.919987790385247490e-23
7.804055962523213398e-15 3.901937466044710367e-23
8.254392843938513390e-15 3.883949395125860891e-23
8.730716636228973321e-15 3.866023436530708490e-23
9.234526926847236491e-15 3.848159448000511289e-23
9.767409837676242885e-15 3.830357286773962439e-23
1.033104301854109187e-14 3.812616813707706881e-23
1.092720092887376653e-14 3.794937885196131894e-23
1.155776042415910603e-14 3.777320362664245109e-23
1.222470666474938166e-14 3.759764101654369081e-23
1.293013936564970981e-14 3.742268957800598389e-23
1.367627940695064471e-14 3.724834795976101113e-23
1.446547582571890796e-14 3.707461474957244555e-23
1.530021321135859163e-14 3.690148859286243412e-23
1.618311952772547602e-14 3.672896799049056410e-23
1.711697438661997808e-14 3.655705151944005569e-23
1.810471779870635575e-14 3.638573782379466151e-23
1.914945942940801064e-14 3.621502552154297070e-23
2.025448838891846558e-14 3.604491320892342395e-23
2.142328358715008127e-14 3.587539945743312702e-23
2.265952468621998384e-14 3.570648284354842106e-23
2.396710368495458786e-14 3.553816196282474928e-23
2.535013717188384983e-14 3.537043541283820026e-23
2.681297928530011171e-14 3.520330178212897270e-23
2.836023542118391017e-14 3.503675972134884691e-23
2.999677673215246346e-14 3.487080782149431107e-23
3.172775546307649234e-14 3.470544471309660246e-23
3.355862117164701376e-14 3.454066899452468063e-23
3.549513788495755370e-14 3.437647924265175124e-23
3.754340224611534107e-14 3.421287405368803136e-23
3.970986270801204196e-14 3.404985203844442995e-23
4.200133983467964070e-14 3.388741189119103210e-23
4.442504777414673881e-14 3.372555225828573710e-23
4.698861697039664405e-14 3.356427174678113397e-23
4.970011818592928664e-14 3.340356894055988357e-23
5.256808791055778994e-14 3.324344247788960408e-23
