#f_hz Omega_gw
6.851277800728635294e-15 4.013105910357299000e-23
7.213304322676888941e-15 3.995373254542343502e-23
7.594460590404829852e-15 3.977699556979157956e-23
7.995757433648427308e-15 3.960084683906245956e-23
8.418259095125050834e-15 3.942528504313603653e-23
8.863086052914333946e-15 3.925030891210373452e-23
9.331417991975891509e-15 3.907591710907609870e-23
9.824496932684021090e-15 3.890210828145531401e-23
1.034363052467654052e-14 3.872888120940408545e-23
1.089019551475301885e-14 3.855623455946766453e-23
1.146564139801923616e-14 3.838416702488161317e-23
1.207149426196081483e-14 3.821267729161403471e-23
1.270936083364051118e-14 3.804176402080336509e-23
1.338093274075233485e-14 3.787142592799147634e-23
1.408799099783291725e-14 3.770166172904799768e-23
1.483241072952754314e-14 3.753247009847371479e-23
1.561616614343704152e-14 3.736384978388549700e-23
1.644133576573338724e-14 3.719579948735817116e-23
1.731010795342936328e-14 3.702831785254321951e-23
1.822478669792025960e-14 3.686140366381095854e-23
1.918779773518913209e-14 3.669505559018737952e-23
2.020169497887969386e-14 3.652927238085412872e-23
2.126916729329752432e-14 3.636405279173246108e-23
2.239304562430158326e-14 3.619939549370115269e-23
2.357631050699722839e-14 3.603529924835277794e-23
2.482209997014125421e-14 3.587176287068920821e-23
2.613371785822139730e-14 3.570878494060955972e-23
2.751464259328069863e-14 3.554636427277682060e-23
2.896853639972300907e-14 3.538449953865653845e-23
3.049925501656376708e-14 3.522318943734327991e-23
3.211085792288368271e-14 3.506243269903875978e-23
3.380761910360238012e-14 3.490222806215796007e-23
3.559403838412358257e-14 3.474257422060947784e-23
3.747485336391121705e-14 3.458346996346605957e-23
3.945505198064439294e-14 3.442491395743056117e-23
4.153988573827149590e-14 3.426690497077536245e-23
4.373488363404430660e-14 3.410944176572774597e-23
4.604586682146676961e-14 3.395252306287945459e-23
4.847896404804474281e-14 3.379614759041008245e-23
5.104062790877773737e-14 3.364031409106328722e-23
5.373765195849655091e-14 3.348502123258249591e-23
5.657718872843037196e-14 3.333026783396590805e-23
5.956676869478136013e-14 3.317605264461625688e-23
6.271432024961313174e-14 3.302237436706664162e-23
6.602819072701542961e-14 3.286923182234004494e-23
6.951716854030672035e-14 3.271662375689319965e-23
7.319050648898270116e-14 3.256454888834240204e-23
7.705794629722103475e-14 3.241300600815335829e-23
8.112974444901854106e-14 3.226199381581600084e-23
8.541669938847600263e-14 3.211151102229937586e-23
8.993018015736567853e-14 3.196155641859187420e-23
9.468215654592925533e-14 3.181212873962365431e-23
9.968523083686478548e-14 3.166322677186034550e-23
1.049526712266911866e-13 3.151484933007718972e-23
1.104984470131199098e-13 3.136699514811959338e-23
1.163372656417542432e-13 3.121966299863114132e-23
1.224846117103628164e-13 3.107285165465198905e-23
1.289567880341675580e-13 3.092655986578489782e-23
1.357709588810514595e-13 3.078078643489752224e-23
1.429451954913461167e-13 3.063553013485704384e-23
1.504985240029183088e-13 3.049078970916122928e-23
1.584509759086530094e-13 3.034656393888693026e-23
1.668236411801466589e-13 3.020285162172739282e-23
1.756387241984956542e-13 3.005965145828363840e-23
1.849196026405065037e-13 2.991696223558537490e-23
1.946908894765002208e-13 2.977478273530675209e-23
2.049784982441221390e-13 2.963311173556140611e-23
2.158097117712693818e-13 2.949194803982722010e-23
2.272132545303877953e-13 2.935129045990002216e-23
2.392193688160224360e-13 2.921113775197965939e-23
2.518598949476457369e-13 2.907148874454623906e-23
2.651683557104616815e-13 2.893234218768492764e-23
2.791800452581233294e-13 2.879369687480596935e-23
2.939321227131355088e-13 2.865555161752219721e-23
3.094637107131712307e-13 2.851790518604685562e-23
3.258159991646444482e-13 2.838075634296840366e-23
3.430323544787038408e-13 2.824410389642220942e-23
3.611584345793295176e-13 2.810794662366419195e-23
3.802423099885451884e-13 2.797228337557380311e-23
4.003345913098605087e-13 2.783711295402826713e-23
4.214885634480317632e-13 2.770243413536368462e-23
4.437603269210919903e-13 2.756824574167896824e-23
4.672089466394133508e-13 2.743454657896086460e-23
4.918966085463623458e-13 2.730133542133589757e-23
5.178887845359627966e-13 2.716861110566258680e-23
5.452544060849275291e-13 2.703637238847015292e-23
5.740660470595355295e-13 2.690461809732842974e-23
6.044001161821513745e-13 2.677334704720128491e-23
6.363370596678284109e-13 2.664255800781433254e-23
6.699615745683660141e-13 2.651224983303039387e-23
7.053628333896281189e-13 2.638242136732299964e-23
7.426347205778041317e-13 2.625307137832560734e-23
7.818760815017768917e-13 2.612419871640523557e-23
8.231909845919003598e-13 2.599580224097380594e-23
8.666889973303810442e-13 2.586788074558389151e-23
9.124854768251941109e-13 2.574043304618072434e-23
9.607018757381365259e-13 2.561345795994610659e-23
1.011466064378344084e-12 2.548695431086352990e-23
1.064912669815455157e-12 2.536092095642636804e-23
1.121183432911780846e-12 2.523535668001554742e-23
1.180427584220298615e-12 2.511026031563468807e-23
1.242802239745375305e-12 2.498563073728667039e-23
1.308472817615779061e-12 2.486146673926914867e-23
1.377613476774993492e-12 2.473776717268996158e-23
1.450407578852251491e-12 2.461453087914803012e-23
1.527048174439168917e-12 2.449175668122805763e-23
1.607738515061592487e-12 2.436944343432516632e-23
1.692692592204413644e-12 2.424758996890489692e-23
1.782135704818846741e-12 2.412619512432478483e-23
1.876305056817210714e-12 2.400525775622325021e-23
1.975450386139751819e-12 2.388477669988665074e-23
2.079834627061853779e-12 2.376475081458568411e-23
2.189734607498009793e-12 2.364517895789462162e-23
2.305441783151859417e-12 2.352605996557931681e-23
2.427263010459250939e-12 2.340739267637446648e-23
2.555521360374176097e-12 2.328917596468581646e-23
2.690556975155748324e-12 2.317140864930167002e-23
2.832727970428434307e-12 2.305408958883307564e-23
2.982411384907800142e-12 2.293721764875180462e-23
