# f_hz  Omega_gw
5.279380412828185991e-16 5.232630612374865185e-23
5.584033156991334564e-16 5.211704217770395794e-23
5.906266239616288109e-16 5.190834117286795884e-23
6.247094154438463319e-16 5.170020233946522841e-23
6.607589937725975086e-16 5.149262495639189570e-23
6.988888546544097127e-16 5.128560825322125196e-23
7.392190431966369362e-16 5.107915137589450291e-23
7.818765318482020299e-16 5.087325362643396565e-23
8.269956201498376481e-16 5.066791410459136468e-23
8.747183575523853361e-16 5.046313212428824666e-23
9.251949906343079087e-16 5.025890690029498474e-23
9.785844361264060143e-16 5.005523771318942308e-23
1.035054781232973082e-15 4.985212378603035727e-23
1.094783812824558593e-15 4.964956427554226117e-23
1.157959577168413622e-15 4.944755844993275232e-23
1.224780971958825028e-15 4.924610553951915696e-23
1.295458372511246246e-15 4.904520480205003761e-23
1.370214294091683120e-15 4.884485544688539011e-23
1.449284092466560785e-15 4.864505670748920389e-23
1.532916704878631452e-15 4.844580792216126207e-23
1.621375433781751024e-15 4.824710824338678269e-23
1.714938775801977138e-15 4.804895682728309679e-23
1.813901298534825679e-15 4.785135290784072713e-23
1.918574567939122874e-15 4.765429578400937786e-23
2.029288129247193813e-15 4.745778470368918463e-23
2.146390544479604294e-15 4.726181882497890352e-23
2.270250489830889986e-15 4.706639731138531692e-23
2.401257916381195925e-15 4.687151943493525289e-23
2.539825277788123712e-15 4.667718446200363924e-23
2.686388828823950058e-15 4.648339159373078054e-23
2.841409998846440570e-15 4.629014006084945212e-23
3.005376844527380921e-15 4.609742915704916787e-23
3.178805586412484721e-15 4.590525811644595220e-23
3.362242234150266617e-15 4.571362611853860039e-23
3.556264305506626137e-15 4.552253223334871579e-23
3.761482644577148520e-15 4.533197578827440583e-23
3.978543344921453462e-15 4.514195611292557046e-23
4.208129783674223842e-15 4.495247244912108991e-23
4.450964773036971681e-15 4.476352399679681019e-23
4.707812835924110077e-15 4.457510996450882418e-23
4.979482612927818331e-15 4.438722963545357194e-23
5.266829408179588821e-15 4.419988215819808435e-23
5.570757882123659518e-15 4.401306673468119106e-23
5.892224899680042780e-15 4.382678258993330904e-23
6.232242542764097626e-15 4.364102906088397702e-23
6.591881296647013678e-15 4.345580543296590725e-23
6.972273420188917364e-15 4.327111087576529792e-23
7.374616510555166927e-15 4.308694465162269795e-23
7.800177273638715754e-15 4.290330597133202407e-23
8.250295512059054753e-15 4.272019402557847548e-23
8.726388343293246271e-15 4.253760800428161665e-23
9.229954661219070122e-15 4.235554706807302370e-23
9.762579855116676664e-15 4.217401049885166125e-23
1.032594080098568068e-14 4.199299751327229044e-23
1.092181114089196469e-14 4.181250744656869360e-23
1.155206686696530313e-14 4.163253953549034336e-23
1.221869222762800032e-14 4.145309302688514339e-23
1.292378597464928748e-14 4.127416706355056907e-23
1.366956797069319786e-14 4.109576086381132996e-23
1.445838617816263186e-14 4.091787364926015682e-23
1.529272405134274282e-14 4.074050465837384074e-23
1.617520835511647285e-14 4.056365312767815778e-23
1.710861743486813991e-14 4.038731823557784714e-23
1.809588996361131834e-14 4.021149926207140471e-23
1.914013419387985509e-14 4.003619547232515028e-23
2.024463774350996911e-14 3.986140609727087626e-23
2.141287794612214729e-14 3.968713036000991937e-23
2.264853279888962378e-14 3.951336743200945685e-23
2.395549254206041024e-14 3.934011659667323304e-23
2.533787190668909608e-14 3.916737710071319980e-23
2.680002306913809434e-14 3.899514816397593805e-23
2.834654935313336657e-14 3.882342899467919814e-23
2.998231972251312871e-14 3.865221878924497962e-23
3.171248411029728123e-14 3.848151688789545141e-23
3.354248963233859682e-14 3.831132253402040672e-23
3.547809773660128665e-14 3.814163498174515245e-23
3.752540234205854506e-14 3.797245342134578638e-23
3.969084902431611146e-14 3.780377707961898215e-23
4.198125530836440517e-14 3.763560512237351038e-23
4.440383213234734237e-14 3.746793672001622302e-23
4.696620654992270803e-14 3.730077108572828952e-23
4.967644574268854724e-14 3.713410748636503870e-23
5.254308241827419933e-14 3.696794525999894245e-23
5.557514167405769908e-14 3.680228358726165523e-23
5.878216941108478050e-14 3.663712168439459320e-23
6.217426238764612686e-14 3.647245870849847658e-23
6.576210000713091389e-14 3.630829396224202681e-23
6.955697794023504943e-14 3.614462671116943219e-23
7.357084368737795287e-14 3.598145621456155915e-23
7.781633419328957098e-14 3.581878167855396373e-23
8.230681563219055845e-14 3.565660225674759034e-23
8.705642548882228282e-14 3.549491721739928033e-23
9.208011706781128648e-14 3.533372581270622422e-23
9.739370657149792272e-14 3.517302727425461214e-23
1.030139228944456288e-13 3.501282079915018168e-23
1.089584602913997120e-13 3.485310562447986053e-23
1.152460340845115228e-13 3.469388099779561466e-23
1.218964395852126450e-13 3.453514618410035252e-23
1.289306144162433679e-13 3.437690042268657597e-23
1.363707044300462002e-13 3.421914298795101547e-23
1.442401334310564131e-13 3.406187310360839833e-23
1.525636769213974666e-13 3.390508994266011588e-23
1.613675401021575242e-13 3.374879265559430943e-23
1.706794403758192782e-13 3.359298045816487650e-23
1.805286946095880459e-13 3.343765260782981504e-23
1.909463114343508516e-13 3.328280839700236355e-23
2.019650888698536179e-13 3.312844707641882581e-23
2.136197175834517711e-13 3.297456790729308053e-23
2.259468901075267937e-13 3.282117013122104602e-23
2.389854163594193080e-13 3.266825295764573154e-23
2.527763458275738361e-13 3.251581562812884261e-23
2.673630968085756946e-13 3.236385731787940774e-23
2.827915931019609504e-13 3.221237723924525316e-23
2.991104085931576181e-13 3.206137460707743796e-23
3.163709201797531830e-13 3.191084864368221209e-23
3.346274695225480309e-13 3.176079863133182432e-23
3.539375341306413805e-13 3.161122379388754494e-23
3.743619083191787940e-13 3.146212342770759503e-23
3.959648946094760063e-13 3.131349672132583104e-23
4.188145061741077801e-13 3.116534294210893361e-23
4.429826809643240368e-13 3.101766128559152747e-23
4.685455081939371331e-13 3.087045099741836253e-23
4.955834678927215825e-13 3.072371126778423350e-23
5.241816842835208692e-13 3.057744129428799786e-23
5.544301937807720903e-13 3.043164031550111512e-23
5.864242284541958276e-13 3.028630752489869100e-23
6.202645158500839086e-13 3.014144222226751096e-23
6.560575961141230427e-13 2.999704364533645189e-23
6.939161574141554737e-13 2.985311107907677988e-23
7.339593907188986173e-13 2.970964372603463195e-23
7.763133650495797386e-13 2.956664084447883265e-23
8.211114243858998174e-13 2.942410163646740087e-23
8.684946074759147888e-13 2.928202529764063241e-23
9.186120918715302403e-13 2.914041107342479981e-23
9.716216635875777199e-13 2.899925820646745387e-23
1.027690213863110404e-12 2.885856593413497845e-23
1.086994264588882506e-12 2.871833350816145455e-23
1.149720524055228850e-12 2.857856012594557060e-23
1.216066474770017609e-12 2.843924505658042637e-23
1.286240995197316412e-12 2.830038750641582354e-23
1.360465017374207305e-12 2.816198673156524723e-23
1.438972222476138008e-12 2.802404198046526995e-23
1.522009776520677010e-12 2.788655244465270128e-23
1.609839108525901247e-12 2.774951738323238325e-23
1.702736733573315479e-12 2.761293593919918026e-23
1.800995123366562762e-12 2.747680737186066009e-23
1.904923627026738305e-12 2.734113092511230187e-23
2.014849445023252626e-12 2.720590586320923505e-23
2.131118659306506421e-12 2.707113142227092022e-23
2.254097322885555434e-12 2.693680683948629445e-23
2.384172612281118055e-12 2.680293139118939107e-23
2.521754046482212647e-12 2.666950428633035807e-23
2.667274776244092297e-12 2.653652476521598435e-23
2.821192947786613016e-12 2.640399203579360955e-23
2.983993145186384278e-12 2.627190536168106003e-23
3.156187916003829750e-12 2.614026394552951206e-23
3.338319384948314121e-12 2.600906701872078433e-23
3.530960960661687097e-12 2.587831380075813700e-23
3.734719140993736632e-12 2.574800353427937311e-23
3.950235422453147369e-12 2.561813543833339196e-23
4.178188319845540167e-12 2.548870873839297549e-23
4.419295502457043668e-12 2.535972263186405024e-23
4.674316053508820551e-12 2.523117634182258280e-23
4.944052859996015393e-12 2.510306909048373116e-23
5.229355140435125059e-12 2.497540014892037739e-23
5.531121118477950074e-12 2.484816881139845664e-23
5.850300850809524172e-12 2.472137433209583217e-23
6.187899218233162438e-12 2.459501597096388998e-23
6.544979089359526781e-12 2.446909293534966237e-23
6.922664666860019910e-12 2.434360441108539947e-23
7.322145026819603691e-12 2.421854962821280348e-23
7.744677862332031497e-12 2.409392780941075608e-23
8.191593443123673627e-12 2.396973819114580019e-23
8.664298803671748778e-12 2.384598000321697780e-23
9.164282173003179384e-12 2.372265249614345535e-23
9.693117660119571767e-12 2.359975490954585632e-23
1.025247020980065678e-11 2.347728648455452981e-23
1.084410084438744413e-11 2.335524644378118973e-23
1.146987220804920481e-11 2.323363401929344110e-23
1.213175443098808325e-11 2.311244846336529300e-23
1.283183133204514475e-11 2.299168901842766734e-23
1.357230697923418188e-11 2.287135492294933244e-23
1.435551262885954516e-11 2.275144538511376415e-23
1.518391406506288018e-11 2.263195963060192450e-23
1.606011936290785302e-11 2.251289688006268106e-23
1.698688709944160510e-11 2.239425632753739871e-23
1.796713503858610882e-11 2.227603722663373189e-23
1.900394931720002936e-11 2.215823884059924977e-23
2.010059416123412332e-11 2.204086042727583734e-23
2.126052216256733767e-11 2.192390122856536177e-23
2.248738514888092075e-11 2.180736048210063564e-23
2.378504568078980530e-11 2.169123742090062092e-23
2.515758921243066141e-11 2.157553126980641537e-23
2.660933695378921992e-11 2.146024125814524397e-23
2.814485947526468224e-11 2.134536659464430751e-23
2.976899109729945582e-11 2.123090655105138344e-23
3.148684511038099761e-11 2.111686036555022091e-23
3.330382987332943020e-11 2.100322728504927034e-23
3.522566584055755369e-11 2.089000653709976696e-23
3.725840357190633411e-11 2.077719735556716093e-23
3.940844278176108961e-11 2.066479895623012331e-23
4.168255248741647794e-11 2.055281054692534151e-23
4.408789232012871115e-11 2.044123135490326820e-23
4.663203506594399845e-11 2.033006059450972324e-23
4.932299050727429247e-11 2.021929754140268964e-23
5.216923064027577399e-11 2.010894142991819146e-23
5.517971634742840835e-11 1.999899149999745358e-23
