# f_hz  Omega_gw
5.908948252578522447e-16 2.487465830206309931e-18
6.249927550107790172e-16 3.805074122134906877e-18
6.610583256428216923e-16 5.807610906770499067e-18
6.992050810159466203e-16 8.842977147987028962e-18
7.395531171067479948e-16 1.343084650647334544e-17
7.822294601000365270e-16 2.034425338519564345e-17
8.273684663005427640e-16 3.072824284496749141e-17
8.751122451217439419e-16 4.627092426154363752e-17
9.256111064835188664e-16 6.944809313239228993e-17
9.790240340271502500e-16 1.038719936758785289e-16
1.035519185637452131e-15 1.547827084657093239e-16
1.095274422847839084e-15 2.297321580615633989e-16
1.158477870795020559e-15 3.395301571594098843e-16
1.225328510486190365e-15 4.995425318632446566e-16
1.296036805243355342e-15 7.314363399124747757e-16
1.370825363297001830e-15 1.065489213187790496e-15
1.449929638615092500e-15 1.543644440186233851e-15
1.533598672173828848e-15 2.223450099409728370e-15
1.622095876003878576e-15 3.182964719409036186e-15
1.715699862480418380e-15 4.526906917826733757e-15
1.814705321467867716e-15 6.394023511828171612e-15
1.919423948080772431e-15 8.965725128571727825e-15
2.030185423981639338e-15 1.247586325175301396e-14
2.147338455305161162e-15 1.722120137816716019e-14
2.271251870476471233e-15 2.357239506472984463e-14
2.402315781379593799e-15 3.198428173526568167e-14
2.540942811531840984e-15 4.300458964265056021e-14
2.687569395130724622e-15 5.728064902853215212e-14
2.842657151063085569e-15 7.556166631438667889e-14
3.006694336202259480e-15 9.869696107628227813e-14
3.180197382568608775e-15 1.276295596191233247e-13
3.363712523192742073e-15 1.633849135649353781e-13
3.557817511800170677e-15 2.070579481676073899e-13
3.763123441731369503e-15 2.598000781006507374e-13
3.980276669823615307e-15 3.228102145075147252e-13
4.209960851311642305e-15 3.973341949395955624e-13
4.452899092153329557e-15 4.846764737567687393e-13
4.709856225556647338e-15 5.862267159027926745e-13
4.981641219874946619e-15 7.035021605949700485e-13
5.269109725451144220e-15 8.382044074702277408e-13
5.573166768429123517e-15 9.922873682613401262e-13
5.894769600013101609e-15 1.168031877106051210e-12
6.234930710145056134e-15 1.368122404663192538e-12
6.594721015088266254e-15 1.595722483656240340e-12
6.975273228952225925e-15 1.854547285631529110e-12
7.377785429773240708e-15 2.148933703053306130e-12
7.803524831377901922e-15 2.483910174124657690e-12
8.253831772904146391e-15 2.865269436475795756e-12
8.730123938539801928e-15 3.299647827641098775e-12
9.233900820763753310e-15 3.794614677698921103e-12
9.766748441141042215e-15 4.358774792886087152e-12
1.033034434353401931e-14 5.001886654060320131e-12
1.092646287544982972e-14 5.734998499475128094e-12
1.155698077415113533e-14 6.570603867606719571e-12
1.222388307511641180e-14 7.522817583107960409e-12
1.292926936145157553e-14 8.607573267505949353e-12
1.367536037392756071e-14 9.842843103220260840e-12
1.446450500245373503e-14 1.124888028548127560e-11
1.529918768099858396e-14 1.284848598453426349e-11
1.618203620923860846e-14 1.466730137861487934e-11
1.711583002555974995e-14 1.673412651206864340e-11
1.810350895745745633e-14 1.908126716905724925e-11
1.914818247688369790e-14 2.174490998408443885e-11
2.025313948967882640e-14 2.476552566699676435e-11
2.142185868990862152e-14 2.818829916344187930e-11
2.265801951170443162e-14 3.206358464794003274e-11
2.396551371308521855e-14 3.644738036419873206e-11
2.534845762823114878e-14 4.140181918904190275e-11
2.681120512678185196e-14 4.699566601454596293e-11
2.835836132095802753e-14 5.330480995888693659e-11
2.999479706366089948e-14 6.041273977007420770e-11
3.172566428319309329e-14 6.841097987778106251e-11
3.355641220287780886e-14 7.739946565216807178e-11
3.549280449664117421e-14 8.748682705874605389e-11
3.754093743456754276e-14 9.879054147344908691e-11
3.970725907555387583e-14 1.114369118274455419e-10
4.199858956748811939e-14 1.255608136606672437e-10
4.442214261886120432e-14 1.413051458892474215e-10
4.698554820941019272e-14 1.588199073358199534e-10
4.969687661129299161e-14 1.782608163417277169e-10
5.256466379641904342e-14 1.997873740309980363e-10
5.559793830992388267e-14 2.235602706122359360e-10
5.880624969439408369e-14 2.497380359994412255e-10
6.219969855432875275e-14 2.784728316659014942e-10
6.578896835548711540e-14 3.099053108844559031e-10
6.958535905923708564e-14 3.441585004573270843e-10
7.360082269779355312e-14 3.813307083783206027e-10
7.784800100234526874e-14 4.214875556000024631e-10
8.234026520253578593e-14 4.646533401660944372e-10
8.709175812259697125e-14 5.108021031767604468e-10
9.211743870666260569e-14 5.598489861767840651e-10
9.743312911344284873e-14 6.116427428297234305e-10
1.030555645285242307e-13 6.659605647990385154e-10
1.090024458511157105e-13 7.225067967704140570e-10
1.152924954211158554e-13 7.809174658803522025e-10
1.219455159619429264e-13 8.407729446259894288e-10
1.289824529246931197e-13 9.016213414301517569e-10
1.364254604299070697e-13 9.630152673657133391e-10
1.442979710145441910e-13 1.024564437927709860e-09
1.526247694037444673e-13 1.086005780477889821e-09
1.614320705396351512e-13 1.147291210087225046e-09
1.707476021128352505e-13 1.208691004171708401e-09
1.806006918564856627e-13 1.270907202763995112e-09
1.910223598776348318e-13 1.335187218004020875e-09
2.020454163166613131e-13 1.403422300277888440e-09
2.137045646421863178e-13 1.478209863253163833e-09
2.260365109066828465e-13 1.562854671435191404e-09
2.390800793067437988e-13 1.661279255986270157e-09
2.528763344118181536e-13 1.777816456738325636e-09
2.674687104462315407e-13 1.916863808058801646e-09
2.829031480315020810e-13 2.082393394820846957e-09
2.992282388194450854e-13 2.277336327486726588e-09
